path,base_category,current_variant,train_group,cluster_id,proposed_train_type,type_confidence,blue_ratio,green_ratio,orange_ratio,silver_ratio
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1795.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.544,0.015,0.152,0.000
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1796.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.530,0.023,0.081,0.015
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1797.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.446,0.007,0.064,0.004
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1798.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.432,0.015,0.049,0.004
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1799.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.491,0.010,0.033,0.011
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1800.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.435,0.016,0.118,0.004
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1801.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.440,0.004,0.091,0.000
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1802.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.440,0.000,0.080,0.000
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1803.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.438,0.000,0.082,0.001
assets/tilesets/train_exterior/train_exterior/train_exterior_te_carriage_body_green_blue_commuter_32x32_1804.png,train_exterior,carriage_body_green,train_exterior_parts,train_exterior_parts_cluster_01,blue_commuter,high,0.476,0.014,0.123,0.000
