path,base_category,current_variant,train_group,cluster_id,proposed_train_type,type_confidence,blue_ratio,green_ratio,orange_ratio,silver_ratio
assets/tilesets/train_interiors/train_interior/train_interior_ti_window_top_panels_unknown_32x32_1187.png,train_interior,window_top_panels,train_interior_parts,train_interior_parts_cluster_03,unknown,low,0.031,0.000,0.094,0.031
assets/tilesets/train_interiors/train_interior/train_interior_ti_window_top_panels_unknown_32x32_1205.png,train_interior,window_top_panels,train_interior_parts,train_interior_parts_cluster_03,unknown,low,0.090,0.000,0.094,0.031
assets/tilesets/train_interiors/train_interior/train_interior_ti_ceiling_light_panels_unknown_32x32_1206.png,train_interior,ceiling_light_panels,train_interior_parts,train_interior_parts_cluster_03,unknown,low,0.090,0.000,0.094,0.031
assets/tilesets/train_interiors/train_interior/train_interior_ti_ceiling_light_panels_unknown_32x32_1207.png,train_interior,ceiling_light_panels,train_interior_parts,train_interior_parts_cluster_03,unknown,low,0.090,0.000,0.094,0.031
assets/tilesets/train_interiors/train_interior/train_interior_ti_handrail_horizontal_unknown_32x32_0921.png,train_interior,handrail_horizontal,train_interior_parts,train_interior_parts_cluster_04,unknown,low,0.141,0.000,0.077,0.199
assets/tilesets/train_interiors/train_interior/train_interior_ti_handrail_horizontal_unknown_32x32_0924.png,train_interior,handrail_horizontal,train_interior_parts,train_interior_parts_cluster_04,unknown,low,0.130,0.000,0.087,0.188
assets/tilesets/train_interiors/train_interior/train_interior_ti_handrail_horizontal_unknown_32x32_1074.png,train_interior,handrail_horizontal,train_interior_parts,train_interior_parts_cluster_04,unknown,low,0.119,0.000,0.079,0.199
assets/tilesets/train_interiors/train_interior/train_interior_ti_handrail_horizontal_unknown_32x32_1159.png,train_interior,handrail_horizontal,train_interior_parts,train_interior_parts_cluster_04,unknown,low,0.168,0.000,0.108,0.180
assets/tilesets/train_interiors/train_interior/train_interior_ti_single_panel_dark_unknown_32x32_1040.png,train_interior,single_panel_dark,train_interior_parts,train_interior_parts_cluster_08,unknown,low,0.030,0.000,0.000,0.120
assets/tilesets/train_interiors/train_interior/train_interior_ti_door_frames_tall_unknown_32x32_0933.png,train_interior,door_frames_tall,train_interior_parts,train_interior_parts_cluster_13,unknown,low,0.138,0.000,0.000,0.185
assets/tilesets/train_interiors/train_interior/train_interior_ti_seat_rows_unknown_32x32_0960.png,train_interior,seat_rows,train_interior_parts,train_interior_parts_cluster_16,unknown,low,0.003,0.000,0.000,0.028
assets/tilesets/train_interiors/train_interior/train_interior_ti_seat_rows_unknown_32x32_1006.png,train_interior,seat_rows,train_interior_parts,train_interior_parts_cluster_16,unknown,low,0.019,0.000,0.000,0.181
assets/tilesets/train_interiors/train_interior/train_interior_ti_seat_rows_unknown_32x32_1123.png,train_interior,seat_rows,train_interior_parts,train_interior_parts_cluster_16,unknown,low,0.003,0.000,0.085,0.028
assets/tilesets/train_interiors/train_interior/train_interior_ti_handrail_horizontal_unknown_32x32_1075.png,train_interior,handrail_horizontal,train_interior_parts,train_interior_parts_cluster_18,unknown,low,0.119,0.000,0.079,0.199
assets/tilesets/train_interiors/train_interior/train_interior_ti_handrail_horizontal_unknown_32x32_1160.png,train_interior,handrail_horizontal,train_interior_parts,train_interior_parts_cluster_18,unknown,low,0.168,0.000,0.108,0.180
